,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
505,97.17,697,519,231,292,5000,6646.0,72.48947204086055,23.239855562415848
506,49.415,657,508,242,62,5000,6646.0,72.49052341287607,23.239855562415844
507,124.313,606,568,287,28,5000,6646.0,72.49157478489161,23.239855562415848
508,38.036,478,382,269,71,5000,6646.0,72.49262615690714,23.23985556241584
509,111.273,546,312,201,140,5000,6646.0,72.49367752892266,23.239855562415844
510,110.875,333,552,441,0,5000,6646.0,72.49472890093821,23.239855562415844
511,119.686,419,671,555,71,5000,6646.0,72.49578027295374,23.239855562415844
512,111.074,429,700,560,9,5000,6646.0,72.49683164496926,23.239855562415848
513,109.081,483,758,479,70,5000,6646.0,72.49788301698479,23.23985556241584
514,103.392,621,750,340,29,5000,6646.0,72.49893438900031,23.239855562415844
515,106.956,710,663,253,65,5000,6646.0,72.49998576101586,23.239855562415844
516,97.569,755,604,148,3,5000,6646.0,72.50103713303139,23.239855562415848
517,75.916,849,697,179,32,5000,6646.0,72.50208850504693,23.239855562415848
518,102.107,983,831,314,166,5000,6646.0,72.50313987706245,23.23985556241584
519,75.363,1035,883,326,219,5000,6646.0,72.50419124907799,23.239855562415848
520,85.481,1181,1028,340,340,5000,6646.0,72.50524262109352,23.239855562415844
521,31.046,1262,1110,422,422,5000,6646.0,72.50629399310905,23.239855562415844
522,23.601,1564,1439,1065,1159,5000,6646.0,72.47867711161308,23.23902024643922
523,2.9,1506,1381,1007,1101,5000,6646.0,72.47972847954941,23.239020246439217
524,3.786,1139,1013,639,734,5000,6646.0,72.48288258335845,23.23902024643922
525,63.208,963,837,463,558,5000,6646.0,72.48393395129479,23.239020246439217
526,36.84,891,766,392,486,5000,6646.0,72.48498531923113,23.23902024643922
527,23.114,818,692,318,413,5000,6646.0,72.48603668716748,23.239020246439217
528,26.39,725,600,254,320,5000,6646.0,72.48708805510383,23.239020246439217
529,125.332,763,638,291,358,5000,6646.0,72.48813942304015,23.239020246439217
530,123.649,793,632,322,388,5000,6646.0,72.4891907909765,23.239020246439217
531,79.503,861,580,390,456,5000,6646.0,72.49024215891284,23.239020246439217
532,63.275,743,312,0,259,5000,6646.0,72.49129352684918,23.239020246439217
533,72.263,547,314,198,143,5000,6646.0,72.4923448947855,23.239020246439214
534,61.017,546,312,201,140,5000,6646.0,72.49339626272187,23.239020246439217
535,85.304,407,494,383,0,5000,6646.0,72.49444763065823,23.239020246439217
536,99.561,482,584,474,29,5000,6646.0,72.49549899859456,23.239020246439217
537,104.875,514,780,645,94,5000,6646.0,72.4965503665309,23.239020246439217
538,102.462,549,824,587,130,5000,6646.0,72.49760173446725,23.23902024643922
539,92.698,625,900,663,205,5000,6646.0,72.4986531024036,23.239020246439214
540,114.041,908,919,465,233,5000,6646.0,72.49970447033994,23.239020246439217
541,89.643,945,882,429,197,5000,6646.0,72.50075583827626,23.239020246439214
542,123.871,891,742,288,56,5000,6646.0,72.50180720621262,23.239020246439214
543,92.012,936,783,266,119,5000,6646.0,72.50285857414896,23.239020246439217
544,60.751,1076,924,407,259,5000,6646.0,72.5039099420853,23.239020246439217
545,81.761,1525,1400,1026,1120,5000,6646.0,72.47839591568483,23.238184932451087
546,74.278,1578,1453,1079,1092,5000,6646.0,72.47944727954219,23.23818493245109
547,67.091,1679,1554,1180,1099,5000,6646.0,72.48049864339951,23.23818493245109
548,42.596,1127,1002,628,722,5000,6646.0,72.48260137111421,23.23818493245109
549,108.661,1038,912,538,633,5000,6646.0,72.48365273497154,23.238184932451087
550,62.876,891,766,392,486,5000,6646.0,72.4847040988289,23.23818493245109
551,72.928,903,778,432,498,5000,6646.0,72.48575546268623,23.238184932451087
552,27.586,907,782,436,502,5000,6646.0,72.48680682654359,23.238184932451084
553,91.813,812,655,341,407,5000,6646.0,72.48785819040093,23.23818493245109
554,142.091,824,699,353,419,5000,6646.0,72.48890955425827,23.238184932451087
555,96.639,1028,439,439,303,5000,6646.0,72.48996091811561,23.238184932451087
556,93.495,1016,277,277,140,5000,6646.0,72.49101228197297,23.238184932451087
