,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
232,23.321,1369,636,636,561,1517,3020.0,12.596050232051953,13.31586048134197
233,28.582,1369,636,636,561,1517,3020.0,12.597064937834531,13.315860481341968
234,52.966,1168,435,435,742,1359,3020.0,12.598079643617112,13.315860481341971
235,21.86,1012,279,279,876,1249,3020.0,12.599094349399692,13.31586048134197
236,27.454,1012,279,279,876,1249,3020.0,12.600109055182271,13.315860481341968
237,21.976,622,0,397,1039,1005,3020.0,12.602138466747428,13.315860481341971
238,19.022,622,0,397,1039,1005,3020.0,12.60315317253001,13.315860481341968
239,3.071,326,254,877,783,750,3020.0,12.604167878312591,13.31586048134197
240,18.341,326,254,877,783,750,3020.0,12.60518258409517,13.31586048134197
241,17.86,0,182,850,525,450,3020.0,12.60619728987775,13.315860481341971
242,59.953,0,182,850,525,450,3020.0,12.60721199566033,13.315860481341971
243,73.979,298,435,905,293,184,3020.0,12.608226701442906,13.315860481341968
244,70.477,345,481,869,257,148,3020.0,12.609241407225486,13.315860481341971
245,62.692,242,376,890,242,169,3020.0,12.61025611300807,13.315860481341971
246,52.086,70,204,816,70,232,3020.0,12.611270818790645,13.315860481341968
247,69.282,0,133,746,0,194,3020.0,12.612285524573227,13.315860481341971
248,72.983,274,140,492,274,279,3020.0,12.613300230355806,13.315860481341971
249,68.02,380,246,431,334,296,3020.0,12.614314936138387,13.31586048134197
250,72.27,543,409,367,446,250,3020.0,12.615329641920967,13.31586048134197
251,74.046,688,554,286,591,168,3020.0,12.616344347703546,13.31586048134197
252,74.693,889,755,315,754,197,3020.0,12.617359053486124,13.31586048134197
253,66.809,958,824,414,722,296,3020.0,12.618373759268705,13.31586048134197
254,78.892,1114,980,620,787,502,3020.0,12.619388465051284,13.31586048134197
255,62.144,1258,1124,730,688,612,3020.0,12.62040317083386,13.315860481341971
256,39.355,1277,1143,820,785,702,3020.0,12.621417876616444,13.31586048134197
257,0.315,1205,472,472,705,1350,3020.0,12.598053369542981,13.315043235110236
258,1.178,940,350,350,805,1178,3020.0,12.59906807320933,13.315043235110233
259,9.859,799,299,491,917,1037,3020.0,12.600082776875682,13.315043235110236
260,29.064,799,299,491,917,1037,3020.0,12.601097480542027,13.315043235110236
261,27.072,634,134,531,905,871,3020.0,12.602112184208378,13.315043235110233
262,49.281,622,0,397,1039,1005,3020.0,12.603126887874724,13.315043235110236
263,19.37,326,254,877,783,750,3020.0,12.60414159154107,13.315043235110233
264,42.824,241,362,940,674,641,3020.0,12.605156295207419,13.315043235110235
265,13.826,158,341,978,653,609,3020.0,12.606170998873765,13.315043235110236
266,69.664,141,323,709,384,309,3020.0,12.607185702540113,13.315043235110238
267,67.157,411,580,760,148,39,3020.0,12.608200406206464,13.315043235110233
268,75.855,409,558,748,128,36,3020.0,12.609215109872814,13.315043235110236
269,61.696,194,327,672,128,0,3020.0,12.610229813539158,13.315043235110233
270,53.248,157,291,708,157,98,3020.0,12.611244517205508,13.315043235110233
271,83.341,157,291,588,157,120,3020.0,12.612259220871858,13.315043235110236
272,87.756,300,312,445,300,142,3020.0,12.613273924538206,13.315043235110233
273,61.895,380,246,386,380,251,3020.0,12.614288628204552,13.315043235110235
274,66.062,496,362,299,471,210,3020.0,12.615303331870898,13.315043235110233
275,77.498,655,522,244,582,126,3020.0,12.616318035537248,13.315043235110236
276,69.514,774,640,200,677,82,3020.0,12.617332739203595,13.315043235110235
277,69.315,980,846,406,743,288,3020.0,12.618347442869943,13.315043235110236
278,69.896,1139,1005,587,677,469,3020.0,12.619362146536291,13.315043235110233
279,62.842,1301,1167,773,688,655,3020.0,12.620376850202643,13.315043235110233
280,39.006,1301,1167,773,688,655,3020.0,12.621391553868989,13.315043235110236
281,4.83,634,134,531,905,871,3020.0,12.601071201885397,13.314225989932934
282,2.34,606,161,558,878,844,3020.0,12.602085903435658,13.31422598993294
283,4.897,478,290,687,749,715,3020.0,12.603100604985913,13.314225989932938
284,17.611,332,435,833,603,570,3020.0,12.604115306536173,13.314225989932938
285,23.437,270,452,866,541,507,3020.0,12.60513000808643,13.314225989932936
286,28.367,158,341,978,653,609,3020.0,12.606144709636691,13.314225989932936
287,20.864,141,323,709,384,309,3020.0,12.607159411186949,13.314225989932938
288,62.344,375,541,644,226,169,3020.0,12.60817411273721,13.314225989932936
289,77.448,488,650,683,34,108,3020.0,12.609188814287467,13.314225989932934
290,65.796,285,419,580,37,91,3020.0,12.610203515837723,13.314225989932936
291,75.954,245,379,613,133,139,3020.0,12.61121821738798,13.314225989932936
292,74.178,253,387,492,253,24,3020.0,12.61223291893824,13.314225989932936
293,84.951,383,391,362,383,105,3020.0,12.6132476204885,13.314225989932934
294,71.904,599,514,121,624,239,3020.0,12.614262322038758,13.314225989932934
295,72.402,588,478,155,600,187,3020.0,12.615277023589016,13.314225989932936
296,69.547,700,573,117,642,0,3020.0,12.616291725139272,13.314225989932938
