,POP_2015,active_living,community_space,education,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
346,0.0,2671,1956,1625,4635,2915,12901.0,119.88162122080156,-0.9943992696004604
347,3.297,2671,1956,1625,4635,2915,12901.0,119.88261909091891,-0.9943992696004584
348,11.699,1719,1238,2438,4149,2082,12901.0,119.88860631162288,-0.9943992696004583
349,1.342,1719,1238,2438,4149,2082,12901.0,119.88960418174021,-0.9943992696004583
350,16.717,793,311,1511,3223,1155,12901.0,119.89658927256153,-0.9943992696004584
351,51.406,793,311,1511,3223,1155,12901.0,119.89758714267886,-0.9943992696004604
352,23.252,2448,1967,1361,2247,2811,12901.0,119.90856371396949,-0.9943992696004604
353,20.218,2448,1967,1361,2247,2811,12901.0,119.90956158408683,-0.9943992696004592
354,0.0,4132,1596,1265,5000,4201,12901.0,119.86966490437008,-0.9952080842192745
355,0.0,4006,1471,1140,5000,4076,12901.0,119.87066277463828,-0.9952080842192718
356,6.331,3893,1357,1026,5000,3973,12901.0,119.87166064490648,-0.9952080842192716
357,111.069,3814,1269,938,5000,3959,12901.0,119.87265851517472,-0.9952080842192726
358,71.624,3700,1174,842,5000,3854,12901.0,119.87365638544294,-0.9952080842192728
359,6.127,3435,1438,1107,5000,3680,12901.0,119.87565212597931,-0.9952080842192735
360,0.0,3512,1515,1184,5000,3756,12901.0,119.87664999624756,-0.9952080842192709
361,4.084,2671,1956,1625,4635,2915,12901.0,119.88163934758863,-0.9952080842192716
362,12.749,2671,1956,1625,4635,2915,12901.0,119.88263721785682,-0.9952080842192718
363,24.711,886,405,1605,3294,1249,12901.0,119.89760527188007,-0.9952080842192718
364,0.029,1595,1114,1699,2585,1958,12901.0,119.90359249348937,-0.9952080842192698
365,60.917,2803,0,296,296,3824,12901.0,119.9225520285854,-0.9952080842192728
366,9.89,3920,1229,898,5000,4061,12901.0,119.87167878492893,-0.996016898914078
367,159.208,3892,1179,848,5000,4046,12901.0,119.87267665534816,-0.9960168989140797
368,131.696,3847,1086,755,5000,4001,12901.0,119.87367452576738,-0.9960168989140759
