,POP_2015,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
428,83.215,523,1824,1668,1824,1824,3696.0,26.973602510964984,-16.819323963193515
429,71.299,595,1752,1596,1752,1752,3696.0,26.974627597042893,-16.81932396319351
430,58.071,705,1680,1524,1680,1680,3696.0,26.9756526831208,-16.81932396319351
431,44.17,691,1670,1514,1670,1670,3696.0,26.9766777691987,-16.819323963193515
432,68.693,504,1597,1441,1597,1597,3696.0,26.977702855276604,-16.81932396319351
433,82.133,330,1511,1355,1511,1511,3696.0,26.97872794135451,-16.81932396319351
434,37.183,307,1508,1352,1508,1508,3696.0,26.97975302743242,-16.819323963193515
435,5.426,252,1494,1338,1494,1494,3696.0,26.98077811351032,-16.81932396319351
436,8.525,251,1494,1337,1494,1494,3696.0,26.981803199588235,-16.819323963193515
437,48.814,476,1718,1562,1718,1718,3696.0,26.98282828566613,-16.81932396319351
438,31.079,476,1718,1562,1718,1718,3696.0,26.98385337174404,-16.819323963193515
439,33.389,196,2043,2196,2499,2499,3696.0,26.990003888211465,-16.819323963193515
440,81.885,209,2101,2253,2578,2578,3696.0,26.992054060367284,-16.819323963193515
441,72.257,209,2101,2253,2578,2578,3696.0,26.993079146445186,-16.81932396319351
442,27.449,327,2664,2506,2664,2664,3696.0,26.961373816744477,-16.82014636668948
443,17.04,327,2664,2506,2664,2664,3696.0,26.962398905572748,-16.82014636668948
444,14.877,185,2522,2363,2522,2522,3696.0,26.963423994401012,-16.82014636668948
445,2.624,747,2435,2276,2435,2435,3696.0,26.964449083229283,-16.82014636668948
446,7.678,78,2377,2219,2377,2377,3696.0,26.965474172057558,-16.820146366689485
447,41.386,84,2371,2213,2371,2371,3696.0,26.966499260885826,-16.82014636668948
448,63.249,237,2191,2033,2191,2191,3696.0,26.9675243497141,-16.82014636668948
449,8.6,237,2191,2033,2191,2191,3696.0,26.968549438542368,-16.82014636668948
450,36.031,0,2287,2131,2287,2287,3696.0,26.96957452737064,-16.82014636668948
451,41.51,137,2173,2017,2173,2173,3696.0,26.9705996161989,-16.82014636668948
452,42.751,260,2120,1963,2120,2120,3696.0,26.971624705027175,-16.82014636668948
453,62.362,379,2039,1883,2039,2039,3696.0,26.972649793855446,-16.82014636668948
454,90.946,491,1914,1758,1914,1914,3696.0,26.973674882683714,-16.82014636668948
455,89.917,575,1849,1693,1849,1849,3696.0,26.97469997151199,-16.82014636668948
456,81.353,718,1778,1621,1778,1778,3696.0,26.975725060340256,-16.82014636668948
457,45.021,641,1807,1650,1807,1807,3696.0,26.976750149168527,-16.82014636668948
458,35.286,501,1667,1511,1667,1667,3696.0,26.977775237996795,-16.820146366689485
459,66.955,339,1582,1425,1582,1582,3696.0,26.979825415653337,-16.82014636668948
460,25.534,300,1543,1386,1543,1543,3696.0,26.98085050448161,-16.82014636668948
461,16.402,346,1589,1432,1589,1589,3696.0,26.981875593309876,-16.82014636668948
462,42.609,413,1656,1499,1656,1656,3696.0,26.982900682138148,-16.82014636668948
463,33.265,452,1694,1538,1694,1694,3696.0,26.983925770966415,-16.82014636668948
464,51.245,349,2269,2113,2269,2269,3696.0,26.98700103745122,-16.82014636668948
465,62.164,349,2269,2113,2269,2269,3696.0,26.988026126279493,-16.82014636668948
466,60.102,197,2375,2219,2375,2375,3696.0,26.989051215107768,-16.82014636668948
467,37.183,32,2272,2384,2540,2540,3696.0,26.99007630393603,-16.820146366689478
468,69.491,0,2239,2392,2572,2572,3696.0,26.991101392764296,-16.820146366689485
469,76.495,209,2101,2253,2578,2578,3696.0,26.992126481592575,-16.82014636668948
470,69.26,209,2101,2253,2578,2578,3696.0,26.99315157042084,-16.82014636668948
471,23.069,547,2883,2725,2883,2883,3696.0,26.96042106796002,-16.82096877154736
472,3.174,358,2694,2536,2694,2694,3696.0,26.961446159538802,-16.82096877154736
473,0.692,327,2664,2506,2664,2664,3696.0,26.962471251117595,-16.820968771547356
474,26.704,807,2467,2309,2467,2467,3696.0,26.96349634269639,-16.82096877154736
475,42.166,211,2523,2365,2523,2523,3696.0,26.964521434275177,-16.820968771547356
476,65.536,71,2449,2291,2449,2449,3696.0,26.965546525853966,-16.820968771547356
477,75.927,136,2446,2288,2446,2446,3696.0,26.966571617432752,-16.820968771547356
478,86.46,212,2370,2212,2370,2370,3696.0,26.967596709011545,-16.82096877154736
479,59.844,146,2281,2123,2281,2281,3696.0,26.96862180059034,-16.820968771547356
480,48.869,67,2329,2173,2329,2329,3696.0,26.969646892169127,-16.82096877154736
481,62.079,198,2249,2092,2249,2249,3696.0,26.970671983747916,-16.820968771547356
482,68.107,373,2193,2037,2193,2193,3696.0,26.97169707532671,-16.820968771547356
483,54.507,373,2193,2037,2193,2193,3696.0,26.972722166905495,-16.820968771547356
484,51.191,623,2040,1884,2040,2040,3696.0,26.973747258484284,-16.82096877154736
485,66.423,647,1938,1782,1938,1938,3696.0,26.97477235006308,-16.820968771547356
486,39.737,677,1819,1662,1819,1819,3696.0,26.97579744164187,-16.82096877154736
487,28.743,762,1928,1771,1928,1928,3696.0,26.976822533220652,-16.820968771547356
488,61.813,733,1964,1808,1964,1964,3696.0,26.97784762479945,-16.82096877154736
489,73.959,699,1942,1785,1942,1942,3696.0,26.97887271637823,-16.820968771547356
490,71.388,488,1730,1574,1730,1730,3696.0,26.979897807957023,-16.82096877154736
491,66.192,510,1752,1596,1752,1752,3696.0,26.980922899535813,-16.82096877154736
492,60.713,393,1636,1479,1636,1636,3696.0,26.981947991114605,-16.82096877154736
493,45.56,474,1716,1560,1716,1716,3696.0,26.98297308269339,-16.82096877154736
494,56.99,389,2183,2027,2183,2183,3696.0,26.987073449008545,-16.820968771547356
495,67.434,310,2277,2121,2277,2277,3696.0,26.98809854058734,-16.82096877154736
496,79.544,197,2375,2219,2375,2375,3696.0,26.98912363216613,-16.820968771547356
497,72.701,114,2354,2302,2458,2458,3696.0,26.990148723744916,-16.82096877154736
498,90.52,172,2412,2521,2677,2677,3696.0,26.991173815323712,-16.82096877154736
499,82.754,172,2412,2521,2677,2677,3696.0,26.9921989069025,-16.82096877154736
500,0.0,547,2883,2725,2883,2883,3696.0,26.96049341208374,-16.821791177767214
501,28.991,333,2646,2487,2646,2646,3696.0,26.96356869507214,-16.821791177767214
502,63.781,345,2657,2499,2657,2657,3696.0,26.9645937894016,-16.821791177767214
503,90.574,68,2512,2354,2512,2512,3696.0,26.965618883731068,-16.821791177767214
504,77.044,107,2512,2354,2512,2512,3696.0,26.96664397806053,-16.821791177767214
505,86.229,168,2452,2294,2452,2452,3696.0,26.967669072389995,-16.821791177767214
506,71.725,136,2484,2326,2484,2484,3696.0,26.96869416671946,-16.821791177767217
507,46.528,126,2370,2214,2370,2370,3696.0,26.969719261048922,-16.821791177767214
508,43.514,163,2388,2232,2388,2388,3696.0,26.97074435537839,-16.821791177767214
509,45.996,287,2301,2144,2301,2301,3696.0,26.971769449707857,-16.821791177767217
510,15.533,705,2122,1966,2122,2122,3696.0,26.972794544037317,-16.821791177767214
511,51.741,623,2040,1884,2040,2040,3696.0,26.97381963836678,-16.821791177767214
512,58.515,803,2077,1921,2077,2077,3696.0,26.974844732696248,-16.821791177767217
513,63.462,803,2077,1921,2077,2077,3696.0,26.975869827025715,-16.821791177767214
514,51.245,843,2011,1855,2011,2011,3696.0,26.976894921355168,-16.821791177767214
515,75.431,754,1997,1840,1997,1997,3696.0,26.977920015684642,-16.821791177767217
516,62.167,582,1825,1668,1825,1825,3696.0,26.97894511001411,-16.821791177767214
517,64.597,540,1782,1626,1782,1782,3696.0,26.97997020434357,-16.821791177767214
