,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
362,66.025,4189,2455,1078,1776,6591.0,75.63115298644489,32.27827268348834
363,30.745,4660,1898,714,1200,6591.0,75.63558165571165,32.27827268348833
364,23.763,4625,1862,678,1165,6591.0,75.63668882302832,32.278272683488325
365,48.124,4855,1594,503,1560,6591.0,75.63779599034503,32.27827268348833
366,126.551,4919,1533,463,1512,6591.0,75.6389031576617,32.27827268348834
367,178.297,5000,1421,254,1590,6591.0,75.64001032497839,32.27827268348833
368,158.235,5000,1376,242,1601,6591.0,75.64111749229507,32.27827268348834
369,140.413,5000,1178,313,1659,6591.0,75.64222465961176,32.27827268348833
370,82.153,5000,1088,354,1569,6591.0,75.64333182692843,32.27827268348833
371,167.875,5000,1017,301,1469,6591.0,75.64443899424512,32.27827268348833
372,127.385,5000,1014,367,1432,6591.0,75.64554616156182,32.27827268348833
373,153.076,5000,1044,398,1463,6591.0,75.6466533288785,32.278272683488325
374,137.026,4646,722,275,1051,6591.0,75.64776049619518,32.27827268348833
375,167.563,4646,722,265,1051,6591.0,75.64886766351188,32.27827268348833
376,166.729,4501,578,409,907,6591.0,75.64997483082855,32.278272683488325
377,173.972,4911,987,0,1316,6591.0,75.65108199814523,32.27827268348833
378,156.385,4911,987,0,1316,6591.0,75.6521891654619,32.278272683488325
379,134.107,4592,912,307,1156,6591.0,75.65329633277862,32.27827268348833
380,72.434,4558,878,273,1122,6591.0,75.6544035000953,32.278272683488325
381,148.255,4869,1189,437,1433,6591.0,75.65661783472866,32.27827268348833
382,127.437,4871,1191,340,1435,6591.0,75.65772500204535,32.27827268348833
383,68.161,4905,1225,321,1469,6591.0,75.65883216936204,32.27827268348833
384,5.42,5000,1790,340,2034,6591.0,75.6632608386288,32.27827268348834
385,115.061,5000,1746,295,1989,6591.0,75.66436800594548,32.27827268348833
386,119.386,5000,1808,358,2052,6591.0,75.66547517326215,32.27827268348833
387,51.069,5000,2250,678,2494,6591.0,75.6687966752122,32.27827268348833
388,120.793,5000,2216,644,2459,6591.0,75.6699038425289,32.27827268348833
389,0.912,5000,2284,712,2528,6591.0,75.6710110098456,32.27827268348833
390,0.0,4509,1746,562,1049,6591.0,75.63402702611158,32.277410602210786
391,19.802,4603,1841,656,1143,6591.0,75.63513418687813,32.27741060221078
392,35.8,4553,1791,606,1093,6591.0,75.6362413476447,32.27741060221077
393,11.386,4904,1549,490,1515,6591.0,75.63734850841125,32.27741060221078
394,120.637,4874,1448,462,1414,6591.0,75.63845566917779,32.27741060221077
395,171.758,4906,1433,399,1446,6591.0,75.63956282994435,32.277410602210786
396,159.538,5000,1340,313,1565,6591.0,75.6406699907109,32.27741060221078
397,82.961,5000,1122,389,1603,6591.0,75.64177715147746,32.27741060221077
398,98.646,5000,1024,308,1506,6591.0,75.64288431224404,32.27741060221078
399,152.893,5000,919,202,1400,6591.0,75.64399147301057,32.27741060221078
400,150.027,4985,962,316,1381,6591.0,75.64509863377714,32.27741060221078
401,96.9,5000,1080,434,1499,6591.0,75.64620579454368,32.27741060221077
402,96.952,4875,852,255,1271,6591.0,75.64731295531024,32.27741060221078
403,119.464,4611,608,221,1017,6591.0,75.64842011607682,32.27741060221078
404,141.377,4458,534,383,863,6591.0,75.64952727684337,32.27741060221078
405,130.355,4911,987,0,1316,6591.0,75.65063443760991,32.27741060221078
406,168.448,4911,987,0,1316,6591.0,75.65174159837647,32.27741060221078
407,56.566,4478,798,193,1042,6591.0,75.65506308067611,32.27741060221078
408,110.501,4478,798,193,1042,6591.0,75.65617024144268,32.277410602210786
409,33.924,4905,1225,321,1469,6591.0,75.65727740220923,32.277410602210786
410,53.388,4905,1225,321,1469,6591.0,75.6583845629758,32.27741060221078
