,POP_2015,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
216,65.536,935,941,2053,653,12105.0,116.24642558860855,28.37152264276887
217,92.053,935,941,2053,653,12105.0,116.24750561950617,28.37152264276887
218,89.569,1143,734,1846,861,12105.0,116.24858565040378,28.37152264276887
219,74.006,1143,734,1846,861,12105.0,116.24966568130142,28.37152264276887
220,96.398,963,498,1610,1097,12105.0,116.25182574309667,28.371522642768873
221,104.069,706,241,1353,1354,12105.0,116.25398580489194,28.37152264276887
222,98.726,687,221,1347,1373,12105.0,116.25506583578955,28.371522642768873
223,72.72,622,58,1322,1537,12105.0,116.25614586668718,28.371522642768866
224,110.1,518,0,1170,1773,12105.0,116.25722589758477,28.371522642768873
225,104.845,518,0,1170,1773,12105.0,116.25830592848241,28.37152264276887
226,61.767,76,568,749,1949,12105.0,116.2615460211753,28.37152264276887
227,63.342,76,568,749,1949,12105.0,116.26262605207293,28.37152264276887
228,75.114,0,65,144,2571,12105.0,116.26694617566343,28.371522642768873
229,72.01,1327,918,2030,1045,12105.0,116.24908768896385,28.37067347227721
230,101.364,1327,918,2030,1045,12105.0,116.25016771449161,28.370673472277208
231,86.111,582,116,1381,1478,12105.0,116.25556784213019,28.37067347227721
232,92.651,499,36,1206,1737,12105.0,116.2566478676579,28.370673472277215
233,87.02,499,27,1198,1746,12105.0,116.25772789318565,28.370673472277215
234,99.28,328,514,698,2201,12105.0,116.26204799529656,28.370673472277215
235,71.988,228,535,597,2101,12105.0,116.26312802082423,28.37067347227721
236,83.096,65,0,209,2637,12105.0,116.26636809740741,28.37067347227721
237,46.669,1418,696,3999,327,12105.0,116.23122939945914,28.369824304360115
238,59.759,992,1170,2434,710,12105.0,116.2452696615138,28.369824304360115
239,53.044,992,1170,2434,710,12105.0,116.24634968167187,28.369824304360115
240,63.053,1327,918,2030,1045,12105.0,116.24850972198799,28.369824304360115
241,39.575,1335,944,2056,1053,12105.0,116.24958974214603,28.36982430436011
242,96.819,430,142,1313,1630,12105.0,116.25606986309435,28.369824304360115
243,86.82,430,142,1313,1630,12105.0,116.25714988325237,28.36982430436012
