,POP_2015,active_living,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
304,14.16,3110,1686,3313,187,5157.0,38.755164734914494,9.138974032678918
305,70.478,3406,1983,3609,484,5157.0,38.756170409138534,9.138974032678918
306,69.145,3526,2103,3729,604,5157.0,38.75717608336259,9.138974032678917
307,56.234,3651,2228,3855,729,5157.0,38.75818175758663,9.138974032678918
308,60.656,3352,1928,3555,441,5157.0,38.752093127397806,9.138161298928743
309,0.118,3352,1928,3555,441,5157.0,38.753098800205294,9.138161298928743
310,9.957,3203,1779,3406,280,5157.0,38.755110145820275,9.138161298928745
311,57.702,3326,1903,3529,403,5157.0,38.75611581862776,9.138161298928743
312,77.718,3448,2025,3652,526,5157.0,38.75712149143526,9.138161298928743
313,53.956,3581,2158,3784,658,5157.0,38.75812716424275,9.138161298928743
314,66.951,3406,1983,3610,496,5157.0,38.75203854762254,9.137348565888281
315,46.445,3414,1990,3617,176,5157.0,38.754049890404666,9.137348565888281
316,27.037,3376,1952,3579,453,5157.0,38.755055561795736,9.137348565888281
317,82.123,3448,2024,3651,429,5157.0,38.7560612331868,9.137348565888281
318,83.355,3479,2056,3682,548,5157.0,38.75706690457787,9.137348565888281
319,50.125,3611,2188,3815,667,5157.0,38.75807257596893,9.137348565888281
320,32.016,3414,1990,3617,176,5157.0,38.75399531286604,9.136535833557467
321,50.884,3517,2094,3720,359,5157.0,38.75500098284081,9.136535833557467
322,50.327,3517,2094,3720,429,5157.0,38.75600665281558,9.136535833557465
323,75.98,3578,2155,3782,495,5157.0,38.75701232279036,9.136535833557467
324,14.059,3661,2238,3864,615,5157.0,38.75801799276513,9.136535833557465
325,6.379,3590,2167,3794,0,5157.0,38.7529350718382,9.135723101936229
326,15.594,3583,2160,3787,6,5157.0,38.753940740396814,9.135723101936229
327,36.859,3612,2189,3816,264,5157.0,38.754946408955426,9.13572310193623
328,31.02,3658,2235,3861,414,5157.0,38.755952077514046,9.135723101936229
329,28.235,3630,2207,3834,441,5157.0,38.75695774607265,9.135723101936229
330,12.253,3590,2167,3794,0,5157.0,38.752880505854364,9.13491037102451
331,18.295,3590,2167,3794,0,5157.0,38.75388617299696,9.134910371024512
332,44.235,3712,2288,3915,165,5157.0,38.754891840139535,9.134910371024512
333,59.525,3764,2340,3967,308,5157.0,38.75589750728211,9.134910371024512
334,30.547,3686,2262,3889,386,5157.0,38.7569031744247,9.13491037102451
335,2.515,3712,2288,3915,165,5157.0,38.75483727639306,9.134097640822244
336,4.472,3790,2366,3993,282,5157.0,38.75584294211974,9.134097640822244
