,POP_2015,community_space,food_choices,mobility,ID_HDC_G0,lng,lat
347,13.21,5000,5000,2183,12356.0,121.12451620242095,31.9715662621432
348,25.515,1408,3209,717,12356.0,121.05088921336815,31.970705274133795
349,10.115,1533,3333,841,12356.0,121.05199406023058,31.970705274133795
350,7.337,1064,4004,263,12356.0,121.0597279882677,31.970705274133792
351,0.35,1179,4119,148,12356.0,121.06083283513016,31.970705274133795
352,0.942,1281,4267,0,12356.0,121.06193768199259,31.97070527413379
353,1.761,1281,4267,0,12356.0,121.06304252885505,31.970705274133792
354,25.72,2144,5000,572,12356.0,121.07188130375458,31.970705274133792
355,32.856,2144,5000,572,12356.0,121.07298615061704,31.970705274133792
356,27.487,2434,5000,862,12356.0,121.07519584434193,31.970705274133795
357,27.084,3042,5000,315,12356.0,121.08182492551659,31.970705274133792
358,26.656,3042,5000,315,12356.0,121.08292977237903,31.9707052741338
359,27.221,3504,5000,536,12356.0,121.08734915982879,31.970705274133792
360,23.377,4218,5000,928,12356.0,121.09397824100347,31.9707052741338
361,17.99,4218,5000,928,12356.0,121.09508308786592,31.970705274133792
362,22.224,4711,5000,1001,12356.0,121.09950247531567,31.97070527413379
363,5.393,4724,5000,1014,12356.0,121.10060732217813,31.970705274133795
364,3.403,5000,5000,1175,12356.0,121.10171216904057,31.970705274133792
365,18.114,5000,5000,1175,12356.0,121.10281701590301,31.970705274133792
366,5.821,5000,5000,1240,12356.0,121.10613155649033,31.970705274133792
367,14.531,5000,5000,1240,12356.0,121.10723640335281,31.97070527413379
368,20.649,5000,5000,1995,12356.0,121.12380910628944,31.970705274133795
369,8.889,2223,3805,1483,12356.0,121.02035188239938,31.969844289173654
370,13.394,2215,3798,1475,12356.0,121.02145672281222,31.96984428917365
371,0.826,1179,4119,148,12356.0,121.06012613726206,31.969844289173654
372,1.535,1281,4267,0,12356.0,121.06123097767491,31.96984428917365
373,0.521,1284,4271,0,12356.0,121.06233581808776,31.969844289173654
374,15.066,1767,5000,865,12356.0,121.06786002015201,31.969844289173654
375,16.478,1767,5000,865,12356.0,121.06896486056488,31.96984428917365
376,29.335,2102,5000,530,12356.0,121.07117454139058,31.96984428917365
377,17.442,2102,5000,530,12356.0,121.07227938180345,31.969844289173647
378,20.99,2355,5000,319,12356.0,121.07448906262916,31.969844289173647
379,21.796,3042,5000,315,12356.0,121.08111810510627,31.969844289173654
380,20.786,3042,5000,315,12356.0,121.08222294551909,31.96984428917365
381,9.017,3497,5000,529,12356.0,121.08664230717052,31.969844289173654
382,21.102,4218,5000,928,12356.0,121.09437619006049,31.969844289173654
383,21.902,5000,5000,1995,12356.0,121.12310204079465,31.969844289173654
384,21.117,2223,3805,1483,12356.0,121.01964544732597,31.968983307262643
385,12.867,2219,3802,1479,12356.0,121.02075028128952,31.968983307262647
386,13.782,1913,5000,339,12356.0,121.07267747757592,31.968983307262643
387,26.743,5000,5000,728,12356.0,121.11245150026336,31.968983307262643
388,23.737,5000,5000,728,12356.0,121.11355633422691,31.968983307262647
389,36.203,5000,5000,1275,12356.0,121.1190805040446,31.968983307262643
390,19.478,2107,4386,1241,12356.0,121.03109214552026,31.968122328400664
391,5.258,729,4339,397,12356.0,121.05981766089744,31.968122328400664
392,3.342,1041,4521,246,12356.0,121.06202731592649,31.968122328400664
393,4.277,1012,4543,236,12356.0,121.06313214344095,31.96812232840066
394,12.113,1263,4802,487,12356.0,121.06534179847002,31.968122328400664
395,12.638,1315,4853,539,12356.0,121.0664466259845,31.968122328400664
396,10.594,1576,5000,675,12356.0,121.06865628101352,31.968122328400664
397,20.042,1913,5000,339,12356.0,121.07197076355705,31.96812232840067
398,16.946,2167,5000,85,12356.0,121.07418041858607,31.96812232840067
399,29.489,2167,5000,85,12356.0,121.07528524610056,31.968122328400664
400,32.397,2618,5000,41,12356.0,121.08080938367308,31.96812232840066
401,12.944,3997,5000,567,12356.0,121.09517214136169,31.968122328400664
402,24.357,4625,5000,660,12356.0,121.09959145141974,31.968122328400657
403,23.309,4655,5000,631,12356.0,121.10069627893425,31.968122328400664
404,21.369,4924,5000,811,12356.0,121.10290593396326,31.96812232840066
405,22.205,4924,5000,811,12356.0,121.10401076147774,31.96812232840066
406,27.456,5000,5000,836,12356.0,121.10732524402128,31.968122328400664
407,20.99,5000,5000,836,12356.0,121.10843007153578,31.96812232840066
408,27.698,5000,5000,632,12356.0,121.1095348990503,31.968122328400664
409,26.198,5000,5000,632,12356.0,121.1106397265648,31.96812232840066
410,32.477,5000,5000,728,12356.0,121.11174455407931,31.96812232840066
411,23.185,5000,5000,755,12356.0,121.11284938159382,31.968122328400664
412,16.388,5000,5000,783,12356.0,121.11395420910833,31.96812232840066
413,13.775,5000,5000,1277,12356.0,121.11837351916634,31.968122328400657
414,25.042,2105,4384,1239,12356.0,121.03038570072543,31.967261352587588
415,23.083,2103,4382,1236,12356.0,121.0314905217912,31.967261352587588
416,29.273,1585,3863,718,12356.0,121.03590980605425,31.967261352587588
417,28.867,1585,3863,718,12356.0,121.03701462711996,31.967261352587588
418,9.898,729,4339,397,12356.0,121.05911104843506,31.967261352587588
419,9.351,729,4339,397,12356.0,121.0602158695008,31.967261352587588
420,10.916,1004,4543,236,12356.0,121.06132069056657,31.967261352587588
421,4.316,1004,4543,236,12356.0,121.06242551163231,31.967261352587588
422,13.952,1263,4802,487,12356.0,121.06463515376383,31.967261352587588
423,14.61,1315,4853,539,12356.0,121.0657399748296,31.967261352587588
424,13.483,1683,5000,588,12356.0,121.06794961696109,31.967261352587585
425,11.705,1683,5000,588,12356.0,121.06905443802685,31.967261352587588
426,25.962,1631,5000,468,12356.0,121.07015925909262,31.967261352587588
427,31.696,1805,5000,295,12356.0,121.07126408015836,31.967261352587588
428,27.351,1805,5000,295,12356.0,121.07236890122412,31.967261352587588
429,24.97,2100,5000,0,12356.0,121.07457854335561,31.967261352587585
430,23.346,2100,5000,0,12356.0,121.0756833644214,31.967261352587588
431,19.763,2354,5000,157,12356.0,121.07678818548713,31.967261352587588
432,19.062,2440,5000,31,12356.0,121.0778930065529,31.967261352587588
433,15.405,2519,5000,96,12356.0,121.07899782761864,31.967261352587588
434,11.041,2652,5000,22,12356.0,121.0801026486844,31.967261352587585
435,20.99,2660,5000,0,12356.0,121.08120746975015,31.967261352587588
436,22.584,2794,5000,0,12356.0,121.08231229081592,31.967261352587588
437,20.891,3261,5000,213,12356.0,121.0867315750789,31.967261352587585
438,22.007,3267,5000,220,12356.0,121.08783639614468,31.967261352587588
439,25.114,3983,5000,582,12356.0,121.09446532253921,31.96726135258759
440,26.309,3997,5000,567,12356.0,121.09557014360495,31.967261352587588
441,28.25,4625,5000,660,12356.0,121.09888460680223,31.967261352587588
442,25.95,4655,5000,631,12356.0,121.09998942786797,31.967261352587588
443,26.03,4924,5000,811,12356.0,121.10219906999947,31.967261352587588
444,24.059,4924,5000,811,12356.0,121.10330389106525,31.967261352587588
445,21.623,5000,5000,836,12356.0,121.10661835426251,31.967261352587588
446,17.776,5000,5000,836,12356.0,121.10772317532825,31.967261352587585
447,14.927,5000,5000,632,12356.0,121.108827996394,31.967261352587588
448,23.551,5000,5000,632,12356.0,121.10993281745978,31.967261352587588
449,27.995,5000,5000,635,12356.0,121.11214245959127,31.967261352587588
