,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
539,54.397,2156,3042,1777,3291,3266,2344,3569.0,28.754307242572338,41.20420003573518
540,22.135,2485,3109,2290,3613,3588,2672,3569.0,28.756688896828035,41.20420003573518
541,63.919,2438,3063,2244,3567,3542,2626,3569.0,28.757879723955885,41.204200035735184
542,40.121,2358,2982,2163,3486,3461,2545,3569.0,28.759070551083735,41.204200035735184
543,28.009,2299,2924,2105,3428,3402,2487,3569.0,28.76026137821158,41.20420003573518
544,44.77,2349,2937,2118,3478,3452,2536,3569.0,28.761452205339427,41.204200035735184
545,83.234,2398,2927,2108,3527,3501,2585,3569.0,28.762643032467267,41.20420003573518
546,80.353,2567,2925,2106,3693,3670,2755,3569.0,28.76383385959512,41.204200035735184
547,74.798,2561,2860,2041,3668,3660,2749,3569.0,28.765024686722967,41.20420003573518
548,67.448,2551,2824,2005,3631,3650,2739,3569.0,28.76621551385082,41.20420003573518
549,71.875,2549,2822,2003,3629,3647,2736,3569.0,28.767406340978663,41.20420003573518
550,72.355,2632,2905,2086,3712,3731,2820,3569.0,28.768597168106513,41.204200035735184
551,27.794,2590,2863,2044,3670,3688,2777,3569.0,28.769787995234363,41.204200035735184
552,0.021,1142,2037,1145,3921,3999,3674,3569.0,28.71118998849043,41.20329933976234
553,1.503,1101,1992,1100,3839,3917,3588,3569.0,28.71238080535398,41.203299339762346
554,0.459,1155,2007,1115,3782,3860,3531,3569.0,28.713571622217533,41.20329933976235
555,1.879,1154,1871,984,3626,3704,3375,3569.0,28.714762439081067,41.203299339762346
556,1.545,1094,1795,908,3539,3617,3287,3569.0,28.715953255944612,41.203299339762346
557,7.914,1170,1647,653,3391,3469,3140,3569.0,28.71714407280816,41.203299339762346
558,33.202,1338,1640,646,3384,3462,3132,3569.0,28.718334889671702,41.203299339762346
559,33.807,1258,1559,565,3303,3381,3052,3569.0,28.71952570653525,41.203299339762346
560,40.448,1454,1363,369,3107,3185,2856,3569.0,28.720716523398792,41.203299339762346
561,21.216,1540,1333,291,3077,3155,2825,3569.0,28.721907340262337,41.203299339762346
562,19.316,1615,1271,208,3015,3093,2764,3569.0,28.723098157125886,41.20329933976235
563,19.545,1745,1221,46,2965,3043,2713,3569.0,28.724288973989427,41.203299339762346
564,45.355,1892,1256,221,3000,3078,2749,3569.0,28.72547979085297,41.203299339762346
565,29.777,1957,1100,266,2844,2922,2592,3569.0,28.72667060771651,41.203299339762346
566,70.601,2271,1121,638,2854,2932,2460,3569.0,28.727861424580052,41.203299339762346
567,69.578,2337,1254,704,2981,3059,2383,3569.0,28.729052241443604,41.203299339762346
568,35.937,2279,1148,738,2864,2942,2244,3569.0,28.730243058307153,41.20329933976235
569,10.357,2216,1081,803,2797,2875,2182,3569.0,28.731433875170687,41.203299339762346
570,41.012,2187,1198,781,2914,2992,2153,3569.0,28.732624692034236,41.20329933976235
571,19.128,2160,1206,753,2922,3000,2125,3569.0,28.733815508897777,41.20329933976234
572,17.499,2152,1279,745,2959,3037,2117,3569.0,28.735006325761326,41.20329933976235
573,11.861,2058,1380,672,2925,3003,2043,3569.0,28.736197142624867,41.20329933976234
574,12.237,2039,1506,653,2906,2984,2024,3569.0,28.73738795948841,41.203299339762346
575,27.877,2034,1601,790,2966,3044,2020,3569.0,28.738578776351964,41.20329933976235
576,24.39,1954,1681,724,2886,2964,1940,3569.0,28.739769593215506,41.203299339762346
577,39.529,1800,1814,588,2731,2809,1785,3569.0,28.74096041007905,41.20329933976235
578,68.659,1679,1887,581,2610,2688,1664,3569.0,28.74215122694259,41.203299339762346
579,60.348,1687,1964,658,2619,2697,1673,3569.0,28.74334204380614,41.203299339762346
580,69.39,1771,2090,784,2702,2780,1756,3569.0,28.744532860669686,41.203299339762346
581,55.817,1881,2187,881,2813,2891,1867,3569.0,28.74572367753323,41.20329933976234
582,55.9,1970,2326,1020,2901,2979,1955,3569.0,28.74691449439677,41.203299339762346
583,60.306,1887,2449,1153,3022,2997,2074,3569.0,28.748105311260314,41.203299339762346
584,27.418,1814,2516,1225,2949,2924,2002,3569.0,28.749296128123863,41.203299339762346
585,28.462,1706,2591,1326,2841,2815,1893,3569.0,28.750486944987397,41.203299339762346
586,22.114,1634,2663,1398,2769,2743,1821,3569.0,28.75167776185095,41.20329933976234
587,0.0,2125,3010,1745,3260,3234,2312,3569.0,28.752868578714494,41.203299339762346
588,9.063,2471,3096,2277,3600,3575,2659,3569.0,28.75644102930513,41.20329933976235
589,54.608,2515,3139,2320,3643,3618,2702,3569.0,28.75763184616867,41.20329933976235
590,23.841,2188,2812,1993,3316,3291,2375,3569.0,28.758822663032216,41.203299339762346
591,32.66,2180,2787,1968,3308,3283,2367,3569.0,28.76001347989576,41.20329933976235
592,37.295,2261,2790,1971,3390,3364,2448,3569.0,28.76120429675931,41.20329933976235
593,39.278,2231,2759,1940,3359,3334,2418,3569.0,28.76239511362285,41.203299339762346
594,54.334,2465,2841,2022,3593,3568,2652,3569.0,28.763585930486393,41.20329933976235
595,55.796,2512,2785,1966,3592,3610,2699,3569.0,28.76477674734994,41.203299339762346
