,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
279,126.338,2807,1277,478,1264,8195.0,77.48304777685678,10.00657861531579
280,158.504,2777,1309,509,1295,8195.0,77.48405503784353,10.006578615315789
281,59.51,2108,1541,0,1155,8195.0,77.48606955981708,10.006578615315789
282,130.662,4455,804,0,1190,8195.0,77.46781904555719,10.005765086963656
283,103.319,3696,664,313,650,8195.0,77.47789163984602,10.005765086963658
284,45.206,2968,868,69,855,8195.0,77.47990615870377,10.00576508696366
285,129.664,2886,970,171,957,8195.0,77.48091341813266,10.005765086963656
286,59.477,2785,1052,252,1038,8195.0,77.48192067756153,10.005765086963654
287,157.445,2729,1108,308,1094,8195.0,77.48292793699042,10.005765086963658
288,163.921,2777,1309,509,1295,8195.0,77.4839351964193,10.005765086963658
289,24.117,2588,1342,479,1329,8195.0,77.48494245584818,10.005765086963658
290,138.28,2243,1593,134,1290,8195.0,77.48594971527707,10.005765086963658
291,48.898,2264,1615,155,1311,8195.0,77.48695697470595,10.005765086963658
292,143.635,1770,1879,0,847,8195.0,77.48897149356371,10.00576508696366
293,86.421,1902,2011,131,715,8195.0,77.48997875299257,10.005765086963658
294,36.657,1953,2062,183,667,8195.0,77.49098601242147,10.005765086963654
295,84.092,4455,804,0,1190,8195.0,77.46769923931838,10.004951559391289
296,151.885,4455,804,0,1190,8195.0,77.46870649718949,10.004951559391287
297,72.749,4165,515,10,901,8195.0,77.47072101293175,10.00495155939129
298,54.886,2729,1108,308,1094,8195.0,77.48180084951412,10.00495155939129
299,91.075,2684,1152,353,1139,8195.0,77.48280810738525,10.004951559391287
300,145.482,2588,1270,445,1257,8195.0,77.48381536525636,10.004951559391287
301,36.158,2588,1342,479,1329,8195.0,77.4848226231275,10.00495155939129
302,133.689,2264,1615,155,1311,8195.0,77.48582988099862,10.004951559391287
303,23.418,2264,1615,155,1311,8195.0,77.48683713886975,10.004951559391287
304,162.463,1770,1879,0,847,8195.0,77.488851654612,10.004951559391289
305,148.026,1877,1986,106,740,8195.0,77.48985891248311,10.004951559391287
306,63.867,1953,2061,182,670,8195.0,77.49086617035425,10.004951559391289
307,22.78,5000,3185,0,3571,8195.0,77.44441254812803,10.004138032598625
308,160.592,5000,3185,0,3571,8195.0,77.44541980444153,10.004138032598625
309,146.296,4165,515,10,901,8195.0,77.46959395596559,10.004138032598625
310,70.986,4162,520,5,898,8195.0,77.47060121227908,10.004138032598624
311,110.225,2752,1262,463,1249,8195.0,77.48268828804112,10.004138032598625
312,99.493,2597,1326,478,1312,8195.0,77.48369554435463,10.004138032598625
313,126.67,2408,1429,299,1415,8195.0,77.48470280066815,10.004138032598625
314,107.41,2401,1478,292,1447,8195.0,77.48571005698163,10.004138032598624
315,103.851,5000,5000,5000,5000,8195.0,77.47551769566583,10.003324506585589
316,41.651,2786,1296,496,1282,8195.0,77.48256847895792,10.00332450658559
317,120.916,2498,1519,389,1506,8195.0,77.48458298846997,10.00332450658559
