,POP_2015,community_space,education,food_choices,ID_HDC_G0,lng,lat
241,22.649,208,522,1630,11822.0,105.77881882254653,-5.595634800073293
242,18.448,313,532,1524,11822.0,105.77981954456182,-5.5956348000732925
243,5.742,313,532,1524,11822.0,105.78082026657714,-5.5956348000732925
244,33.16,463,635,1387,11822.0,105.78182098859246,-5.5956348000732925
245,1.585,684,856,1184,11822.0,105.78382243262303,-5.595634800073293
246,11.848,250,565,1677,11822.0,105.77690781113868,-5.596445049386774
247,5.204,250,565,1677,11822.0,105.77790853400954,-5.596445049386777
248,7.937,0,314,1426,11822.0,105.77890925688038,-5.596445049386774
249,16.936,0,314,1426,11822.0,105.77990997975127,-5.596445049386775
250,9.449,110,324,1316,11822.0,105.78091070262211,-5.596445049386776
251,16.035,262,434,1186,11822.0,105.78191142549299,-5.596445049386776
252,20.149,484,656,972,11822.0,105.78391287123468,-5.596445049386775
253,22.729,166,1335,146,11822.0,105.78991720845985,-5.596445049386774
254,62.19,166,1335,146,11822.0,105.7909179313307,-5.596445049386777
255,3.155,250,565,1677,11822.0,105.77699825707116,-5.597255299130258
256,10.147,250,565,1677,11822.0,105.77799898079772,-5.59725529913026
257,3.329,0,314,1426,11822.0,105.77899970452425,-5.59725529913026
258,10.656,0,314,1426,11822.0,105.7800004282508,-5.597255299130259
259,11.281,110,324,1316,11822.0,105.78100115197732,-5.597255299130258
260,22.199,262,434,1186,11822.0,105.78200187570388,-5.59725529913026
261,27.36,484,656,972,11822.0,105.78400332315695,-5.597255299130258
262,41.23,94,1263,74,11822.0,105.79000766551619,-5.59725529913026
263,27.113,94,1263,74,11822.0,105.79100838924273,-5.597255299130258
264,0.407,439,741,475,11822.0,105.78609523755465,-5.598065549303808
265,14.61,439,741,475,11822.0,105.78709596213699,-5.598065549303808
266,2.635,143,1026,179,11822.0,105.78809668671934,-5.598065549303807
267,4.149,143,1026,179,11822.0,105.78909741130165,-5.598065549303807
268,73.869,19,1188,17,11822.0,105.79009813588402,-5.598065549303806
269,7.53,465,368,1481,11822.0,105.77717918886583,-5.598875799907484
270,26.996,465,368,1481,11822.0,105.77817991430409,-5.598875799907483
271,11.485,210,103,1216,11822.0,105.78018136518065,-5.598875799907483
272,20.789,112,112,1104,11822.0,105.78118209061893,-5.598875799907484
273,11.804,232,232,984,11822.0,105.7821828160572,-5.598875799907484
274,42.013,452,452,764,11822.0,105.78418426693375,-5.598875799907484
275,3.896,370,798,407,11822.0,105.78618571781033,-5.598875799907483
276,33.071,366,802,402,11822.0,105.78718644324861,-5.598875799907484
277,25.108,229,939,266,11822.0,105.78818716868687,-5.598875799907483
278,14.176,143,1026,179,11822.0,105.78918789412516,-5.598875799907483
279,9.871,119,0,1321,11822.0,105.78027185361115,-5.599686050941348
280,33.596,0,0,1205,11822.0,105.78127257990552,-5.599686050941348
281,36.009,502,502,703,11822.0,105.78427475878851,-5.599686050941348
282,1.573,370,798,407,11822.0,105.78627621137721,-5.599686050941349
283,9.005,387,835,423,11822.0,105.78727693767152,-5.599686050941349
284,22.395,421,904,458,11822.0,105.78736744540585,-5.600496302405468
285,40.346,615,1098,652,11822.0,105.78745796645168,-5.601306554299903
286,25.737,615,1098,652,11822.0,105.78754850080914,-5.6021168066247204
